Utterances,Potential Intent
|Why is my bill increased eleven dollars and eight cents                                                                                                                                                                                                                                                     |,Increased Bill
|Why is my bill fifty nine instead of fifty four dollars                                                                                                                            |,Increased Bill
|Why is my bill still hundred and seventy some hundred dollars                                                                                                                      |,Increased Bill
|Did you get that bill for one hundred and twenty two dollars                                                                                                                                                              |,Increased Bill
|Why is my bill ninety nine dollars                                                                                                                                                                                                   |,Increased Bill
|Why is my bill six dollars and three cents more                                                                                                                                                                                      |,Increased Bill
|Why is my bill one hundred and sixty three dollars                                                                                                                                                                                   |,Increased Bill
|Why is my bill hundred and eighteen dollars                                                                                                                                                                                          |,Increased Bill
|Why is my bill one hundred and twelve dollars                                                                                                                                                                                         |,Increased Bill
|Why is my bill one hundred and ninety seven dollars                                                                                                                                                                                   |,Increased Bill
|Why is my spectrum mobile bill one hundred forty five dollars                                                                                                                                                                         |,Increased Bill
|Why is my bill one hundred and fifty six dollars they're about                                                                                                                                                                        |,Increased Bill
|Why is my bill six and sixty four dollars                                                                                                                                                                                             |,Increased Bill
|Why is my bill one hundred and fifty four dollars                                                                                                                                                                                     |,Increased Bill
|What is my bill nine hundred and thirty seven dollars                                                                                                                                                                                                                                                       |,Increased Bill
|Why is my bill one hundred and six sixty one                                                                                                                                                                                                                                                                |,Increased Bill
|Why is my bill one hundred and fifty dollars                                                                                                                                                                                                                                                                |,Increased Bill
|Why is my bill four hundred and ninety six dollars                                                                                                                                                                                                                                                          |,Increased Bill
|Why is my bill hundred and thirty dollars                                                                                                                                                                                                                                                                   |,Increased Bill
|Why is my bill two hundred and three dollars                                                                                                                                                                                                                                                                |,Increased Bill
|Why is my bill one hundred and sixty three seventy five                                                                                                                                                                                                                                                     |,Increased Bill
|Why is my bill one hundred and six dollars                                                                                                                                                                                                                                                                  |,Increased Bill
|Why is my bill two hundred and fifty four dollars                                                                                                                                                                                                                                                           |,Increased Bill
|Why is my bill one hundred and thirty eight dollars                                                                                                                                                                                                                                                         |,Increased Bill
|Why is my bill one hundred and eighty five dollars                                                                                                                                                                                                                                                          |,Increased Bill
|Why is my bill up six dollars and nineteen cents                                                                                                                                                                                                                                                            |,Increased Bill
|Why is my bill hundred dollars and ninety cents                                                                                                                                                                                                                                                             |,Increased Bill
|The bill is forty four dollars and ninety eight cents why                                                                                                                                                                                                                                                   |,Increased Bill
|Why is my bill one hundred and eighty dollars                                                                                                                                                                                                                                                               |,Increased Bill
|Why is my phone bill two hundred and five dollars                                                                                                                                                                                                                                                           |,Increased Bill
|Why is my bill five hundred and thirty four dollars                                                                                                                                                                                                                                                         |,Increased Bill
|How is my bill one hundred thirty three dollars                                                                                                                                                                                                                                                             |,Increased Bill
|My bill is one hundred and nine dollars why                                                                                                                                                                                                                                                                 |,Increased Bill
|What is the twelve dollars eighty four cents bill paying for                                                                                                                                                                                                                                                |,Increased Bill
|Why is my bill five hundred and thirty dollars                                                                                                                                                                                                                                                              |,Increased Bill
|Why is my bill two hundred and eighty eight dollars                                                                                                                                                                                                                                                         |,Increased Bill
|Why is my bill seven hundred and thirty something dollars                                                                                                                                                                                                                                                   |,Increased Bill
|About my cable bill why is it two hundred and sixty two dollars                                                                                                                                                                                                                                             |,Increased Bill
|Why is my bill another six dollars and some cents higher again                                                                                                                                                                                                                                              |,Increased Bill
|Why is my bill two hundred and forty three dollars                                                                                                                                                                                                                                                          |,Increased Bill
|Why is my bill one hundred and twenty one dollars                                                                                                                                                                                                                                                           |,Increased Bill
|My bill is five dollars and one cents more why                                                                                                                                                                                                                                                              |,Increased Bill
|Why is my bill two hundred and fifty dollars                                                                                                                                                                                                                                                                |,Increased Bill
|Why is my bill still two hundred and fourteen dollars                                                                                                                                                                                                                                                       |,Increased Bill
|Why is my bill now ninety dollars instead of seventy dollars                                                                                                                                                                                                                                                |,Increased Bill
|Why is my bill one hundred and seventy three dollars                                                                                                                                                                                                                                                        |,Increased Bill
|Why is my bill hundred and eighty dollars                                                                                                                                                                                                                                                                   |,Increased Bill
|Why my bill is one hundred and twenty dollars why                                                                                                                                                                                                                                                           |,Increased Bill
|Why is my bill six dollars and thirty two cents more                                                                                                                                                                                                                                                        |,Increased Bill
|My bill why is it one hundred and nine dollars                                                                                                                                                                                                                                                              |,Increased Bill
|Why is my bill seven dollars and forty nine                                                                                                                                                                                                                                                                 |,Increased Bill
|Why is my bill four hundred ninety three dollars                                                                                                                                                                                                                                                            |,Increased Bill
|My bill is one dollar and twenty three higher why                                                                                                                                                                                                                                                           |,Increased Bill
|Why is my bill hundred ninety four dollars                                                                                                                                                                                                                                                                  |,Increased Bill
|Why is my bill one hundred and seventy eight dollars and                                                                                                                                                                                                                                                    |,Increased Bill
|What do I have one hundred and seven dollar bill                                                                                                                                                                                                                                                            |,Increased Bill
|My bill just went up seventeen dollars and ninety one cents why                                                                                                                    |,Increased Bill
|I just got my bill and it increased eleven dollars and five cents why                                                                                                                                                                 |,Increased Bill
|My bill went up twenty dollars and ninety seven cents why                                                                                                                                                                             |,Increased Bill
|My bill went from one hundred and four to one hundred and sixteen why                                                                                                                                                                                                                                       |,Increased Bill
|My bill is going up fourteen dollars and fifteen cents why                                                                                                                                                                                                                                                  |,Increased Bill
|My bill went up another eleven dollars and some cents why                                                                                                                                                                                                                                                   |,Increased Bill
|Why my bill is eighty some dollars and it was fifty                                                                                                                                                                                                                                                         |,Increased Bill
|Why next months bill is seventy four ninety nine                                                                                                                                                                                                                                                            |,Increased Bill
|Why my bill is raised three dollars twenty nine dollars                                                                                                                                                                                                                                                     |,Increased Bill
|You billed me seven hundred and fifty dollars on September nineteenth why                                                                                                                                                            |,Increased Bill
|Why was my bill seventy eight dollars instead of seventy dollars this month                                                                                                                                                           |,Increased Bill
|Why did my bill go from seventy nine ninety nine to eighty four dollars                                                                                                                                                                                                                                     |,Increased Bill
|How did my bill go from twenty nine dollars to eighty nine dollars                                                                                                                                                                                                                                          |,Increased Bill
|Why was my bill changed from forty nine dollars to sixty one dollars                                                                                                                                                                                                                                        |,Increased Bill
|Why did my bill go up to two hundred and eighty two dollars                                                                                                                                                                                                                                                 |,Increased Bill
|Why did my bill go up to two hundred and twenty five dollars                                                                                                                                                                                                                                                |,Increased Bill
|Why did my bill go from twenty eight to forty two dollars                                                                                                                                                                                                                                                   |,Increased Bill
|Why did my bill go up five dollars and twelve cents                                                                                                                                                                                   |,Increased Bill
|Why did my bill go up sixteen dollars and seven cents                                                                                                                                                                                                                                                       |,Increased Bill
|How come my bill went up one dollar and thirty two cents                                                                                                                                                                                                                                                    |,Increased Bill
|How come my bill went up sixteen dollars and forty six cents                                                                                                                                                                                                                                                |,Increased Bill
|Why did the bill go up sixteen dollars and twenty eight cents                                                                                                                                                                                                                                               |,Increased Bill
|Why did my bill go up six dollars and forty cents                                                                                                                                                                                                                                                           |,Increased Bill
|Why did my bill go up thirty seven dollars and fifty six cents                                                                                                                                                                                                                                              |,Increased Bill
|Why did my bill go up eleven dollars and four cents                                                                                                                                                                                                                                                         |,Increased Bill
|Why did my stupid ass bill go up six dollars and five cents                                                                                                                                                                                                                                                 |,Increased Bill
|Why did my bill go up seventeen dollars and fifty nine cents                                                                                                                                                                                                                                                |,Increased Bill
|Why did my bill go up eight dollars and thirty eight cents                                                                                                                                                                                                                                                  |,Increased Bill
|How come my bill increased by twenty eight dollars and ninety cents                                                                                                                                                                                                                                         |,Increased Bill
|Why did you raise my bill another eleven dollars and five cents                                                                                                                                                                                                                                             |,Increased Bill
|Why did my bill go up sixteen dollars and fifty nine cents                                                                                                                                                                                                                                                  |,Increased Bill
|Why was my bill raised eleven dollars and thirty three cents                                                                                                                                                                                                                                                |,Increased Bill
|Why did the bill increase five dollars and twenty two cents                                                                                                                                                                                                                                                 |,Increased Bill
|Why did my bill increase from one thirty to one fifty                                                                                                                              |,Increased Bill
|Why did my bill go up to eighty four ninety nine                                                                                                                                                                                      |,Increased Bill
|Why did my bill go up from fifty nine sixty four                                                                                                                                                                                                                                                            |,Increased Bill
|Why did my bill go from one eighty eight to two sixteen                                                                                                                                                                                                                                                     |,Increased Bill
|Why was my bill one hundred dollars instead of forty nine                                                                                                                                                                                                                                                   |,Increased Bill
|Why did my bill go up from one thirty eight to one fifty                                                                                                                                                                                                                                                    |,Increased Bill
|When did my bill go up to fifty nine ninety nine                                                                                                                                                                                                                                                            |,Increased Bill
|Why did my bill go from one twenty seven to one fifty seven                                                                                                                                                                                                                                                 |,Increased Bill
|Why did my bill go up from seven to seventy three dollars                                                                                                                                                                                                                                                   |,Increased Bill
|Why did my bill increase from two thirty to two forty six                                                                                                                                                                                                                                                   |,Increased Bill
|Why did my bill go up from fifty fifty five to fifty nine dollars                                                                                                                                                                                                                                           |,Increased Bill
|Why did my bill go go to one eighty instead of one seventy eight                                                                                                                                                                                                                                            |,Increased Bill
|Why was I charged twenty eight dollars on my bill for eight four                                                                                                                                                                                                                                            |,Increased Bill
|Why did my bill jump up twenty eight eighty four                                                                                                                                                                                                                                                            |,Increased Bill
|When did the phone bill go up nineteen ninety nine                                                                                                                                                                                                                                                          |,Increased Bill
|Why did my bill go from fourteen dollars to twenty five dollars                                                                                                                                                                                                                                             |,Increased Bill
|Why did my bill jump to fifty four ninety nine                                                                                                                                                                                                                                                              |,Increased Bill
|Why did my bill go up from eighteen dollars to forty nine dollars                                                                                                                                                                                                                                           |,Increased Bill
|Why did my bill increase from two sixty three to two seventy five                                                                                                                                                                                                                                           |,Increased Bill
|Why did my bill go up to two sixteen twenty seven                                                                                                                                                                                                                                                           |,Increased Bill
|Why did my bill go up from one sixty nine thirty one                                                                                                                                                                                                                                                        |,Increased Bill
|Why is my bill eleven dollars more than it normally is taking ten channels for me                                                                                                                                                     |,Increased Bill
|Mobile phone bill for forty two dollars why is it forty two dollars                                                                                                                                                                                                                                         |,Increased Bill
|Why is my bill one hundred and nine dollars when I am on connectivity program                                                                                                                                                                                                                               |,Increased Bill
|Why is my bill eighty nine dollars when you're putting out Internet for forty nine dollars                                                                                                                                                                                                                  |,Increased Bill
|Why is my bill for hundred and seven dollars and I have no channels at all                                                                                                                                                                                                                                  |,Increased Bill
|Why my bill went up to seventy seven dollars from twenty nine                                                                                                                      |,Increased Bill
|Why my bill went up from one forty three to one sixty five                                                                                                                                                                |,Increased Bill
|Why my bill jumped from fifty one dollars to sixty seven dollars                                                                                                                                                                     |,Increased Bill
|Why my bill went up to two hundred and seventy dollars                                                                                                                                                                               |,Increased Bill
|Why my bill was increased from one fifty five to one eighty two                                                                                                                                                                       |,Increased Bill
|Why my bill went up six dollars and seventy four cents                                                                                                                                                                                |,Increased Bill
|Why my bill went up from twenty five to forty dollars                                                                                                                                                                                 |,Increased Bill
|Why my bill went up fourteen dollars and twenty two cents                                                                                                                                                                             |,Increased Bill
|Why the bill went up another four dollars and fifty five cents                                                                                                                                                                        |,Increased Bill
|Why my bill was raised twenty six dollars and seventy seven cents more                                                                                                                                                                |,Increased Bill
|Why my bill went up eleven dollars and eighty cents                                                                                                                                                                                                                                                         |,Increased Bill
|Why I had billed six dollars and forty eight cents                                                                                                                                                                                                                                                          |,Increased Bill
|Why my bill was seven dollars and forty cents more this month                                                                                                                                                                                                                                               |,Increased Bill
|Why my bill was one hundred and some dollars                                                                                                                                                                                                                                                                |,Increased Bill
|Why I was billed seventy four dollars and ninety nine cents                                                                                                                                                                                                                                                 |,Increased Bill
|Why our bill went up six dollars and eight cents                                                                                                                                                                                                                                                            |,Increased Bill
|Why my bill went from one sixty six to one sixty three                                                                                                                                                                                                                                                      |,Increased Bill
|Why my bill went up fifty four dollars and forty two cents                                                                                                                                                                                                                                                  |,Increased Bill
|Why my bill went from sixty five dollars and ninety something dollars                                                                                                                                                                                                                                       |,Increased Bill
|Why my cable bill has gone up six dollars and nine cents                                                                                                                                                                                                                                                    |,Increased Bill
|Why my bill went up sixteen dollars and twenty nine cents this month                                                                                                                                                                                                                                        |,Increased Bill
|Why my bill went up seven dollars and fifty eight cents                                                                                                                                                                                                                                                     |,Increased Bill
|Why my bill went up twelve dollars and twenty three cents                                                                                                                                                                                                                                                   |,Increased Bill
|Why my bill went up twelve dollars and ninety cents                                                                                                                                                                                                                                                         |,Increased Bill
|Why my bill went up by seventeen dollars and sixty cents                                                                                                                                                                                                                                                    |,Increased Bill
|Why my bill went up twenty three dollars and thirty three cents                                                                                                                                                                                                                                             |,Increased Bill
|Why my bill went up eleven dollars and eleven cents more a month                                                                                                                                                                                                                                            |,Increased Bill
|Why my bill changed from forty four dollars to sixty nine                                                                                                                                                                                                                                                   |,Increased Bill
|Why my bill went up one dollar and five cents                                                                                                                                                                                                                                                               |,Increased Bill
|Why my bill went up six dollars and thirteen cents                                                                                                                                                                                                                                                          |,Increased Bill
|Why my bill went from fifty two dollars and ninety four dollars                                                                                                                                                                                                                                             |,Increased Bill
|Why my bill jumped from eighty four dollars to one hundred and nineteen                                                                                                                                                                                                                                     |,Increased Bill
|Why my bill increased from one ninety one to two two two                                                                                                                                                                                                                                                    |,Increased Bill
|Why my bill went up two hundred and seventy one dollars                                                                                                                                                                                                                                                     |,Increased Bill
